close,date,high,interest_over_time_AU,interest_over_time_BR,interest_over_time_CA,interest_over_time_CN,interest_over_time_DE,interest_over_time_FR,interest_over_time_GB,interest_over_time_GH,interest_over_time_IN,interest_over_time_JP,interest_over_time_KE,interest_over_time_KR,interest_over_time_NG,interest_over_time_RU,interest_over_time_SG,interest_over_time_US,interest_over_time_VE,interest_over_time_ZA,low,num_retweets,num_tweets,open,tweet_exposure,volume_from,volume_to
867.36,2018-02-28 09:00:00,869.54,23.0,67.0,79.0,52.0,35.0,26.0,36.0,10.0,50.0,52.0,37.0,97.0,28.0,16.0,31.0,86.0,9.0,36.0,860.86,10800.0,7800.0,862.69,23603300.0,14127.17,12211876.94
864.28,2018-02-28 10:00:00,869.07,25.0,25.0,55.0,59.0,26.0,31.0,37.0,41.0,49.0,44.0,19.0,52.0,16.0,18.0,38.0,83.0,8.0,34.0,862.34,10800.0,7800.0,867.36,23603300.0,7728.79,6686207.58
866.1,2018-02-28 11:00:00,869.52,30.0,23.0,72.0,45.0,26.0,30.0,37.0,15.0,61.0,46.0,10.0,34.0,14.0,17.0,31.0,70.0,14.0,28.0,862.29,10800.0,7800.0,864.28,23603300.0,7287.76,6313878.77
859.17,2018-02-28 12:00:00,867.06,30.0,19.0,41.0,31.0,35.0,32.0,36.0,0.0,61.0,34.0,23.0,46.0,19.0,23.0,32.0,57.0,15.0,37.0,856.02,10800.0,7800.0,866.1,23603300.0,15182.91,13045623.44
865.02,2018-02-28 13:00:00,866.45,29.0,22.0,48.0,14.0,27.0,28.0,38.0,7.0,51.0,35.0,10.0,27.0,15.0,17.0,31.0,42.0,7.0,37.0,857.93,10800.0,7800.0,859.4,23603300.0,7180.34,6198362.76
868.96,2018-02-28 14:00:00,870.97,36.0,23.0,46.0,29.0,24.0,34.0,34.0,8.0,45.0,31.0,23.0,19.0,31.0,19.0,55.0,40.0,17.0,21.0,862.95,10800.0,7800.0,865.02,23603300.0,9142.64,7919476.73
867.64,2018-02-28 15:00:00,871.85,49.0,23.0,45.0,62.0,26.0,26.0,45.0,8.0,42.0,47.0,4.0,17.0,11.0,15.0,37.0,36.0,19.0,41.0,867.13,10800.0,7800.0,868.98,23603300.0,9242.03,8042773.31
863.81,2018-02-28 16:00:00,868.91,39.0,27.0,44.0,37.0,29.0,34.0,31.0,8.0,33.0,54.0,4.0,43.0,27.0,15.0,68.0,43.0,23.0,33.0,863.69,10800.0,7800.0,867.7,23603300.0,5826.65,5051010.09
867.19,2018-02-28 17:00:00,869.78,72.0,22.0,41.0,19.0,30.0,32.0,43.0,0.0,31.0,64.0,10.0,26.0,23.0,13.0,21.0,42.0,15.0,44.0,863.54,10800.0,7800.0,863.81,23603300.0,6180.26,5359762.33
865.91,2018-02-28 18:00:00,869.13,66.0,23.0,43.0,0.0,33.0,30.0,40.0,0.0,41.0,45.0,0.0,27.0,14.0,16.0,45.0,45.0,28.0,21.0,864.99,10800.0,7800.0,867.19,23603300.0,8538.03,7404230.09
